 Keyword,FileName,Frequency
 communism,C:\Users\Shobeir\Desktop\Playground\Python\StateoftheUnion\1888-Cleveland.txt,3
 communism,C:\Users\Shobeir\Desktop\Playground\Python\StateoftheUnion\1906-Roosevelt.txt,1
 communism,C:\Users\Shobeir\Desktop\Playground\Python\StateoftheUnion\1950-Truman.txt,2
 communism,C:\Users\Shobeir\Desktop\Playground\Python\StateoftheUnion\1951-Truman.txt,4
 communism,C:\Users\Shobeir\Desktop\Playground\Python\StateoftheUnion\1952-Truman.txt,2
 communism,C:\Users\Shobeir\Desktop\Playground\Python\StateoftheUnion\1953-Eisenhower.txt,1
 communism,C:\Users\Shobeir\Desktop\Playground\Python\StateoftheUnion\1953-Truman.txt,1
 communism,C:\Users\Shobeir\Desktop\Playground\Python\StateoftheUnion\1955-Eisenhower.txt,1
 communism,C:\Users\Shobeir\Desktop\Playground\Python\StateoftheUnion\1957-Eisenhower.txt,1
 communism,C:\Users\Shobeir\Desktop\Playground\Python\StateoftheUnion\1959-Eisenhower.txt,1
 communism,C:\Users\Shobeir\Desktop\Playground\Python\StateoftheUnion\1960-Eisenhower.txt,2
 communism,C:\Users\Shobeir\Desktop\Playground\Python\StateoftheUnion\1961-Kennedy.txt,1
 communism,C:\Users\Shobeir\Desktop\Playground\Python\StateoftheUnion\1962-Kennedy.txt,1
 communism,C:\Users\Shobeir\Desktop\Playground\Python\StateoftheUnion\1963-Kennedy.txt,5
 communism,C:\Users\Shobeir\Desktop\Playground\Python\StateoftheUnion\1965-LBJohnson.txt,2
 communism,C:\Users\Shobeir\Desktop\Playground\Python\StateoftheUnion\1987-Reagan.txt,1
 communism,C:\Users\Shobeir\Desktop\Playground\Python\StateoftheUnion\1990-HWBush.txt,2
 communism,C:\Users\Shobeir\Desktop\Playground\Python\StateoftheUnion\1992-HWBush.txt,3
 communism,C:\Users\Shobeir\Desktop\Playground\Python\StateoftheUnion\1993-Clinton.txt,1
 communism,C:\Users\Shobeir\Desktop\Playground\Python\StateoftheUnion\1995-Clinton.txt,1
 communism,C:\Users\Shobeir\Desktop\Playground\Python\StateoftheUnion\1998-Clinton.txt,1
 communism,C:\Users\Shobeir\Desktop\Playground\Python\StateoftheUnion\2000-Clinton.txt,1
 communism,C:\Users\Shobeir\Desktop\Playground\Python\StateoftheUnion\2003-Bush.txt,1
 communism,C:\Users\Shobeir\Desktop\Playground\Python\StateoftheUnion\2005-Bush.txt,1
 communists,C:\Users\Shobeir\Desktop\Playground\Python\StateoftheUnion\1950-Truman.txt,1
 communists,C:\Users\Shobeir\Desktop\Playground\Python\StateoftheUnion\1952-Truman.txt,1
 communists,C:\Users\Shobeir\Desktop\Playground\Python\StateoftheUnion\1953-Eisenhower.txt,3
 communists,C:\Users\Shobeir\Desktop\Playground\Python\StateoftheUnion\1953-Truman.txt,14
 communists,C:\Users\Shobeir\Desktop\Playground\Python\StateoftheUnion\1955-Eisenhower.txt,3
 communists,C:\Users\Shobeir\Desktop\Playground\Python\StateoftheUnion\1956-Eisenhower.txt,1
 communists,C:\Users\Shobeir\Desktop\Playground\Python\StateoftheUnion\1959-Eisenhower.txt,2
 communists,C:\Users\Shobeir\Desktop\Playground\Python\StateoftheUnion\1960-Eisenhower.txt,1
 communists,C:\Users\Shobeir\Desktop\Playground\Python\StateoftheUnion\1961-Eisenhower.txt,2
 communists,C:\Users\Shobeir\Desktop\Playground\Python\StateoftheUnion\1961-Kennedy.txt,1
 communists,C:\Users\Shobeir\Desktop\Playground\Python\StateoftheUnion\1962-Kennedy.txt,3
 communists,C:\Users\Shobeir\Desktop\Playground\Python\StateoftheUnion\1963-Kennedy.txt,1
 communists,C:\Users\Shobeir\Desktop\Playground\Python\StateoftheUnion\1966-LBJohnson.txt,1
 communists,C:\Users\Shobeir\Desktop\Playground\Python\StateoftheUnion\1967-LBJohnson.txt,2
 economy,C:\Users\Shobeir\Desktop\Playground\Python\StateoftheUnion\1793-Washington.txt,1
 economy,C:\Users\Shobeir\Desktop\Playground\Python\StateoftheUnion\1794-Washington.txt,1
 economy,C:\Users\Shobeir\Desktop\Playground\Python\StateoftheUnion\1799-Adams.txt,1
 economy,C:\Users\Shobeir\Desktop\Playground\Python\StateoftheUnion\1800-Adams.txt,1
 economy,C:\Users\Shobeir\Desktop\Playground\Python\StateoftheUnion\1802-Jefferson.txt,4
 economy,C:\Users\Shobeir\Desktop\Playground\Python\StateoftheUnion\1804-Jefferson.txt,1
 economy,C:\Users\Shobeir\Desktop\Playground\Python\StateoftheUnion\1810-Madison.txt,1
 economy,C:\Users\Shobeir\Desktop\Playground\Python\StateoftheUnion\1812-Madison.txt,1
 economy,C:\Users\Shobeir\Desktop\Playground\Python\StateoftheUnion\1815-Madison.txt,1
 economy,C:\Users\Shobeir\Desktop\Playground\Python\StateoftheUnion\1816-Madison.txt,1
 economy,C:\Users\Shobeir\Desktop\Playground\Python\StateoftheUnion\1820-Monroe.txt,2
 economy,C:\Users\Shobeir\Desktop\Playground\Python\StateoftheUnion\1821-Monroe.txt,1
 economy,C:\Users\Shobeir\Desktop\Playground\Python\StateoftheUnion\1822-Monroe.txt,2
 economy,C:\Users\Shobeir\Desktop\Playground\Python\StateoftheUnion\1823-Monroe.txt,1
 economy,C:\Users\Shobeir\Desktop\Playground\Python\StateoftheUnion\1826-Adams.txt,1
 economy,C:\Users\Shobeir\Desktop\Playground\Python\StateoftheUnion\1827-Adams.txt,2
 economy,C:\Users\Shobeir\Desktop\Playground\Python\StateoftheUnion\1829-Jackson.txt,2
 economy,C:\Users\Shobeir\Desktop\Playground\Python\StateoftheUnion\1832-Jackson.txt,2
 economy,C:\Users\Shobeir\Desktop\Playground\Python\StateoftheUnion\1833-Jackson.txt,2
 economy,C:\Users\Shobeir\Desktop\Playground\Python\StateoftheUnion\1834-Jackson.txt,3
 economy,C:\Users\Shobeir\Desktop\Playground\Python\StateoftheUnion\1835-Jackson.txt,3
 economy,C:\Users\Shobeir\Desktop\Playground\Python\StateoftheUnion\1836-Jackson.txt,2
 economy,C:\Users\Shobeir\Desktop\Playground\Python\StateoftheUnion\1837-Buren.txt,2
 economy,C:\Users\Shobeir\Desktop\Playground\Python\StateoftheUnion\1838-Buren.txt,2
 economy,C:\Users\Shobeir\Desktop\Playground\Python\StateoftheUnion\1839-Buren.txt,4
 economy,C:\Users\Shobeir\Desktop\Playground\Python\StateoftheUnion\1840-Buren.txt,3
 economy,C:\Users\Shobeir\Desktop\Playground\Python\StateoftheUnion\1841-Tyler.txt,2
 economy,C:\Users\Shobeir\Desktop\Playground\Python\StateoftheUnion\1842-Tyler.txt,3
 economy,C:\Users\Shobeir\Desktop\Playground\Python\StateoftheUnion\1843-Tyler.txt,1
 economy,C:\Users\Shobeir\Desktop\Playground\Python\StateoftheUnion\1844-Tyler.txt,2
 economy,C:\Users\Shobeir\Desktop\Playground\Python\StateoftheUnion\1845-Polk.txt,1
 economy,C:\Users\Shobeir\Desktop\Playground\Python\StateoftheUnion\1846-Polk.txt,1
 economy,C:\Users\Shobeir\Desktop\Playground\Python\StateoftheUnion\1848-Polk.txt,1
 economy,C:\Users\Shobeir\Desktop\Playground\Python\StateoftheUnion\1849-Taylor.txt,1
 economy,C:\Users\Shobeir\Desktop\Playground\Python\StateoftheUnion\1851-Fillmore.txt,3
 economy,C:\Users\Shobeir\Desktop\Playground\Python\StateoftheUnion\1852-Fillmore.txt,1
 economy,C:\Users\Shobeir\Desktop\Playground\Python\StateoftheUnion\1853-Pierce.txt,1
 economy,C:\Users\Shobeir\Desktop\Playground\Python\StateoftheUnion\1854-Pierce.txt,1
 economy,C:\Users\Shobeir\Desktop\Playground\Python\StateoftheUnion\1856-Pierce.txt,1
 economy,C:\Users\Shobeir\Desktop\Playground\Python\StateoftheUnion\1857-Buchanan.txt,4
 economy,C:\Users\Shobeir\Desktop\Playground\Python\StateoftheUnion\1858-Buchanan.txt,5
 economy,C:\Users\Shobeir\Desktop\Playground\Python\StateoftheUnion\1859-Buchanan.txt,3
 economy,C:\Users\Shobeir\Desktop\Playground\Python\StateoftheUnion\1860-Buchanan.txt,1
 economy,C:\Users\Shobeir\Desktop\Playground\Python\StateoftheUnion\1861-Lincoln.txt,1
 economy,C:\Users\Shobeir\Desktop\Playground\Python\StateoftheUnion\1862-Lincoln.txt,1
 economy,C:\Users\Shobeir\Desktop\Playground\Python\StateoftheUnion\1865-Johnson.txt,3
 economy,C:\Users\Shobeir\Desktop\Playground\Python\StateoftheUnion\1866-Johnson.txt,1
 economy,C:\Users\Shobeir\Desktop\Playground\Python\StateoftheUnion\1867-Johnson.txt,4
 economy,C:\Users\Shobeir\Desktop\Playground\Python\StateoftheUnion\1868-Johnson.txt,5
 economy,C:\Users\Shobeir\Desktop\Playground\Python\StateoftheUnion\1869-Grant.txt,1
 economy,C:\Users\Shobeir\Desktop\Playground\Python\StateoftheUnion\1870-Grant.txt,1
 economy,C:\Users\Shobeir\Desktop\Playground\Python\StateoftheUnion\1871-Grant.txt,1
 economy,C:\Users\Shobeir\Desktop\Playground\Python\StateoftheUnion\1872-Grant.txt,2
 economy,C:\Users\Shobeir\Desktop\Playground\Python\StateoftheUnion\1873-Grant.txt,3
 economy,C:\Users\Shobeir\Desktop\Playground\Python\StateoftheUnion\1874-Grant.txt,1
 economy,C:\Users\Shobeir\Desktop\Playground\Python\StateoftheUnion\1875-Grant.txt,1
 economy,C:\Users\Shobeir\Desktop\Playground\Python\StateoftheUnion\1876-Grant.txt,3
 economy,C:\Users\Shobeir\Desktop\Playground\Python\StateoftheUnion\1877-Hayes.txt,1
 economy,C:\Users\Shobeir\Desktop\Playground\Python\StateoftheUnion\1878-Hayes.txt,1
 economy,C:\Users\Shobeir\Desktop\Playground\Python\StateoftheUnion\1879-Hayes.txt,3
 economy,C:\Users\Shobeir\Desktop\Playground\Python\StateoftheUnion\1880-Hayes.txt,2
 economy,C:\Users\Shobeir\Desktop\Playground\Python\StateoftheUnion\1881-Arthur.txt,5
 economy,C:\Users\Shobeir\Desktop\Playground\Python\StateoftheUnion\1882-Arthur.txt,2
 economy,C:\Users\Shobeir\Desktop\Playground\Python\StateoftheUnion\1883-Arthur.txt,1
 economy,C:\Users\Shobeir\Desktop\Playground\Python\StateoftheUnion\1884-Arthur.txt,2
 economy,C:\Users\Shobeir\Desktop\Playground\Python\StateoftheUnion\1885-Cleveland.txt,3
 economy,C:\Users\Shobeir\Desktop\Playground\Python\StateoftheUnion\1886-Cleveland.txt,6
 economy,C:\Users\Shobeir\Desktop\Playground\Python\StateoftheUnion\1888-Cleveland.txt,2
 economy,C:\Users\Shobeir\Desktop\Playground\Python\StateoftheUnion\1889-Harrison.txt,1
 economy,C:\Users\Shobeir\Desktop\Playground\Python\StateoftheUnion\1890-Harrison.txt,3
 economy,C:\Users\Shobeir\Desktop\Playground\Python\StateoftheUnion\1891-Harrison.txt,1
 economy,C:\Users\Shobeir\Desktop\Playground\Python\StateoftheUnion\1893-Cleveland.txt,6
 economy,C:\Users\Shobeir\Desktop\Playground\Python\StateoftheUnion\1894-Cleveland.txt,1
 economy,C:\Users\Shobeir\Desktop\Playground\Python\StateoftheUnion\1896-Cleveland.txt,10
 economy,C:\Users\Shobeir\Desktop\Playground\Python\StateoftheUnion\1899-McKinley.txt,2
 economy,C:\Users\Shobeir\Desktop\Playground\Python\StateoftheUnion\1900-McKinley.txt,3
 economy,C:\Users\Shobeir\Desktop\Playground\Python\StateoftheUnion\1901-Roosevelt.txt,3
 economy,C:\Users\Shobeir\Desktop\Playground\Python\StateoftheUnion\1903-Roosevelt.txt,4
 economy,C:\Users\Shobeir\Desktop\Playground\Python\StateoftheUnion\1904-Roosevelt.txt,2
 economy,C:\Users\Shobeir\Desktop\Playground\Python\StateoftheUnion\1905-Roosevelt.txt,6
 economy,C:\Users\Shobeir\Desktop\Playground\Python\StateoftheUnion\1906-Roosevelt.txt,4
 economy,C:\Users\Shobeir\Desktop\Playground\Python\StateoftheUnion\1907-Roosevelt.txt,2
 economy,C:\Users\Shobeir\Desktop\Playground\Python\StateoftheUnion\1908-Roosevelt.txt,3
 economy,C:\Users\Shobeir\Desktop\Playground\Python\StateoftheUnion\1909-Taft.txt,8
 economy,C:\Users\Shobeir\Desktop\Playground\Python\StateoftheUnion\1910-Taft.txt,21
 economy,C:\Users\Shobeir\Desktop\Playground\Python\StateoftheUnion\1911-Taft.txt,15
 economy,C:\Users\Shobeir\Desktop\Playground\Python\StateoftheUnion\1912-Taft.txt,4
 economy,C:\Users\Shobeir\Desktop\Playground\Python\StateoftheUnion\1914-Wilson.txt,4
 economy,C:\Users\Shobeir\Desktop\Playground\Python\StateoftheUnion\1918-Wilson.txt,1
 economy,C:\Users\Shobeir\Desktop\Playground\Python\StateoftheUnion\1919-Wilson.txt,1
 economy,C:\Users\Shobeir\Desktop\Playground\Python\StateoftheUnion\1920-Wilson.txt,2
 economy,C:\Users\Shobeir\Desktop\Playground\Python\StateoftheUnion\1922-Harding.txt,2
 economy,C:\Users\Shobeir\Desktop\Playground\Python\StateoftheUnion\1923-Coolidge.txt,2
 economy,C:\Users\Shobeir\Desktop\Playground\Python\StateoftheUnion\1925-Coolidge.txt,10
 economy,C:\Users\Shobeir\Desktop\Playground\Python\StateoftheUnion\1926-Coolidge.txt,7
 economy,C:\Users\Shobeir\Desktop\Playground\Python\StateoftheUnion\1927-Coolidge.txt,5
 economy,C:\Users\Shobeir\Desktop\Playground\Python\StateoftheUnion\1928-Coolidge.txt,8
 economy,C:\Users\Shobeir\Desktop\Playground\Python\StateoftheUnion\1929-Hoover.txt,3
 economy,C:\Users\Shobeir\Desktop\Playground\Python\StateoftheUnion\1930-Hoover.txt,1
 economy,C:\Users\Shobeir\Desktop\Playground\Python\StateoftheUnion\1931-Hoover.txt,1
 economy,C:\Users\Shobeir\Desktop\Playground\Python\StateoftheUnion\1932-Hoover.txt,3
 economy,C:\Users\Shobeir\Desktop\Playground\Python\StateoftheUnion\1934-FDRoosevelt.txt,1
 economy,C:\Users\Shobeir\Desktop\Playground\Python\StateoftheUnion\1939-FDRoosevelt.txt,2
 economy,C:\Users\Shobeir\Desktop\Playground\Python\StateoftheUnion\1941-FDRoosevelt.txt,1
 economy,C:\Users\Shobeir\Desktop\Playground\Python\StateoftheUnion\1943-FDRoosevelt.txt,1
 economy,C:\Users\Shobeir\Desktop\Playground\Python\StateoftheUnion\1944-FDRoosevelt.txt,2
 economy,C:\Users\Shobeir\Desktop\Playground\Python\StateoftheUnion\1945-FDRoosevelt.txt,3
 economy,C:\Users\Shobeir\Desktop\Playground\Python\StateoftheUnion\1946-Truman.txt,30
 economy,C:\Users\Shobeir\Desktop\Playground\Python\StateoftheUnion\1947-Truman.txt,11
 economy,C:\Users\Shobeir\Desktop\Playground\Python\StateoftheUnion\1948-Truman.txt,6
 economy,C:\Users\Shobeir\Desktop\Playground\Python\StateoftheUnion\1949-Truman.txt,9
 economy,C:\Users\Shobeir\Desktop\Playground\Python\StateoftheUnion\1950-Truman.txt,9
 economy,C:\Users\Shobeir\Desktop\Playground\Python\StateoftheUnion\1951-Truman.txt,5
 economy,C:\Users\Shobeir\Desktop\Playground\Python\StateoftheUnion\1952-Truman.txt,1
 economy,C:\Users\Shobeir\Desktop\Playground\Python\StateoftheUnion\1953-Eisenhower.txt,9
 economy,C:\Users\Shobeir\Desktop\Playground\Python\StateoftheUnion\1953-Truman.txt,6
 economy,C:\Users\Shobeir\Desktop\Playground\Python\StateoftheUnion\1954-Eisenhower.txt,9
 economy,C:\Users\Shobeir\Desktop\Playground\Python\StateoftheUnion\1955-Eisenhower.txt,14
 economy,C:\Users\Shobeir\Desktop\Playground\Python\StateoftheUnion\1956-Eisenhower.txt,6
 economy,C:\Users\Shobeir\Desktop\Playground\Python\StateoftheUnion\1957-Eisenhower.txt,12
 economy,C:\Users\Shobeir\Desktop\Playground\Python\StateoftheUnion\1958-Eisenhower.txt,3
 economy,C:\Users\Shobeir\Desktop\Playground\Python\StateoftheUnion\1959-Eisenhower.txt,12
 economy,C:\Users\Shobeir\Desktop\Playground\Python\StateoftheUnion\1960-Eisenhower.txt,3
 economy,C:\Users\Shobeir\Desktop\Playground\Python\StateoftheUnion\1961-Eisenhower.txt,7
 economy,C:\Users\Shobeir\Desktop\Playground\Python\StateoftheUnion\1961-Kennedy.txt,9
 economy,C:\Users\Shobeir\Desktop\Playground\Python\StateoftheUnion\1962-Kennedy.txt,11
 economy,C:\Users\Shobeir\Desktop\Playground\Python\StateoftheUnion\1963-Kennedy.txt,6
 economy,C:\Users\Shobeir\Desktop\Playground\Python\StateoftheUnion\1964-LBJohnson.txt,3
 economy,C:\Users\Shobeir\Desktop\Playground\Python\StateoftheUnion\1965-LBJohnson.txt,6
 economy,C:\Users\Shobeir\Desktop\Playground\Python\StateoftheUnion\1966-LBJohnson.txt,2
 economy,C:\Users\Shobeir\Desktop\Playground\Python\StateoftheUnion\1967-LBJohnson.txt,6
 economy,C:\Users\Shobeir\Desktop\Playground\Python\StateoftheUnion\1968-LBJohnson.txt,1
 economy,C:\Users\Shobeir\Desktop\Playground\Python\StateoftheUnion\1969-LBJohnson.txt,1
 economy,C:\Users\Shobeir\Desktop\Playground\Python\StateoftheUnion\1970-Nixon.txt,1
 economy,C:\Users\Shobeir\Desktop\Playground\Python\StateoftheUnion\1971-Nixon.txt,8
 economy,C:\Users\Shobeir\Desktop\Playground\Python\StateoftheUnion\1972-Nixon.txt,17
 economy,C:\Users\Shobeir\Desktop\Playground\Python\StateoftheUnion\1974-Nixon.txt,26
 economy,C:\Users\Shobeir\Desktop\Playground\Python\StateoftheUnion\1975-Ford.txt,4
 economy,C:\Users\Shobeir\Desktop\Playground\Python\StateoftheUnion\1976-Ford.txt,14
 economy,C:\Users\Shobeir\Desktop\Playground\Python\StateoftheUnion\1977-Ford.txt,5
 economy,C:\Users\Shobeir\Desktop\Playground\Python\StateoftheUnion\1978-Carter.txt,9
 economy,C:\Users\Shobeir\Desktop\Playground\Python\StateoftheUnion\1979-Carter.txt,21
 economy,C:\Users\Shobeir\Desktop\Playground\Python\StateoftheUnion\1980-Carter.txt,22
 economy,C:\Users\Shobeir\Desktop\Playground\Python\StateoftheUnion\1981-Carter.txt,35
 economy,C:\Users\Shobeir\Desktop\Playground\Python\StateoftheUnion\1981-Reagan.txt,7
 economy,C:\Users\Shobeir\Desktop\Playground\Python\StateoftheUnion\1982-Reagan.txt,8
 economy,C:\Users\Shobeir\Desktop\Playground\Python\StateoftheUnion\1983-Reagan.txt,7
 economy,C:\Users\Shobeir\Desktop\Playground\Python\StateoftheUnion\1984-Reagan.txt,5
 economy,C:\Users\Shobeir\Desktop\Playground\Python\StateoftheUnion\1985-Reagan.txt,14
 economy,C:\Users\Shobeir\Desktop\Playground\Python\StateoftheUnion\1986-Reagan.txt,3
 economy,C:\Users\Shobeir\Desktop\Playground\Python\StateoftheUnion\1987-Reagan.txt,1
 economy,C:\Users\Shobeir\Desktop\Playground\Python\StateoftheUnion\1988-Reagan.txt,3
 economy,C:\Users\Shobeir\Desktop\Playground\Python\StateoftheUnion\1990-HWBush.txt,1
 economy,C:\Users\Shobeir\Desktop\Playground\Python\StateoftheUnion\1991-HWBush.txt,3
 economy,C:\Users\Shobeir\Desktop\Playground\Python\StateoftheUnion\1992-HWBush.txt,9
 economy,C:\Users\Shobeir\Desktop\Playground\Python\StateoftheUnion\1993-Clinton.txt,12
 economy,C:\Users\Shobeir\Desktop\Playground\Python\StateoftheUnion\1994-Clinton.txt,4
 economy,C:\Users\Shobeir\Desktop\Playground\Python\StateoftheUnion\1995-Clinton.txt,13
 economy,C:\Users\Shobeir\Desktop\Playground\Python\StateoftheUnion\1996-Clinton.txt,5
 economy,C:\Users\Shobeir\Desktop\Playground\Python\StateoftheUnion\1997-Clinton.txt,11
 economy,C:\Users\Shobeir\Desktop\Playground\Python\StateoftheUnion\1998-Clinton.txt,11
 economy,C:\Users\Shobeir\Desktop\Playground\Python\StateoftheUnion\1999-Clinton.txt,10
 economy,C:\Users\Shobeir\Desktop\Playground\Python\StateoftheUnion\2000-Clinton.txt,10
