FileName, Keyword, Sentence
C:\Users\Shobeir\Desktop\Playground\Python\StateoftheUnion\1824-Monroe.txt, god, it by law. For these blessings we owe to Almighty God  from whom we derive them  and with profound reve
C:\Users\Shobeir\Desktop\Playground\Python\StateoftheUnion\1826-Adams.txt, god, ated spirits were ascending to the bosom of their God! JOHN QUINCY ADAMS
C:\Users\Shobeir\Desktop\Playground\Python\StateoftheUnion\1829-Jackson.txt, god, try more than any other has  in the providence of God  been cast the special guardianship of the great 
C:\Users\Shobeir\Desktop\Playground\Python\StateoftheUnion\1829-Jackson.txt, god, you  fellow citizens  to the guidance of Almighty God  with a full reliance on His merciful providence 
C:\Users\Shobeir\Desktop\Playground\Python\StateoftheUnion\1830-Jackson.txt, god, avorable results. Our country  by the blessing of God  is not in a situation to invite aggression  and 
C:\Users\Shobeir\Desktop\Playground\Python\StateoftheUnion\1832-Jackson.txt, god, es over much of our land  it has pleased Almighty God to mitigate its severity and lessen the number of
C:\Users\Shobeir\Desktop\Playground\Python\StateoftheUnion\1845-Polk.txt, god, you  fellow-citizens  to the guidance of Almighty God  with a full reliance on His merciful providence 
C:\Users\Shobeir\Desktop\Playground\Python\StateoftheUnion\1848-Polk.txt, god, tives: Under the benignant providence of Almighty God the representatives of the States and of the peop
C:\Users\Shobeir\Desktop\Playground\Python\StateoftheUnion\1853-Pierce.txt, god,  most abundant cause for reverent thankfulness to God for an accumulation of signal mercies showered up
C:\Users\Shobeir\Desktop\Playground\Python\StateoftheUnion\1854-Pierce.txt, god, nd ample grounds for reverent thankfulness to the God of grace and providence for His protecting care a
C:\Users\Shobeir\Desktop\Playground\Python\StateoftheUnion\1854-Pierce.txt, god, ity of these convictions the blessing of Almighty God is earnestly invoked to attend upon your delibera
C:\Users\Shobeir\Desktop\Playground\Python\StateoftheUnion\1855-Pierce.txt, god,  all  on the continued gracious favor of Almighty God to maintain against all enemies  whether at home 
C:\Users\Shobeir\Desktop\Playground\Python\StateoftheUnion\1857-Buchanan.txt, god, rst and above all  our thanks are due to Almighty God for the numerous benefits which He has bestowed u
C:\Users\Shobeir\Desktop\Playground\Python\StateoftheUnion\1857-Buchanan.txt, god, ostrate institutions at war with the laws both of God and man. "He has therefore for several years  in 
C:\Users\Shobeir\Desktop\Playground\Python\StateoftheUnion\1859-Buchanan.txt, god, try would be held responsible in the eyes both of God and man. Its petty tribes would then be constantl
C:\Users\Shobeir\Desktop\Playground\Python\StateoftheUnion\1860-Buchanan.txt, god, atal period has not yet arrived  and my prayer to God is that He would preserve the Constitution and th
C:\Users\Shobeir\Desktop\Playground\Python\StateoftheUnion\1860-Buchanan.txt, god, tes  they  and they alone  are responsible before God and the world for the slavery existing among them
C:\Users\Shobeir\Desktop\Playground\Python\StateoftheUnion\1860-Buchanan.txt, god, the Executive? He is bound by solemn oath  before God and the country  "to take care that the laws be f
C:\Users\Shobeir\Desktop\Playground\Python\StateoftheUnion\1861-Lincoln.txt, god, ical troubles we have cause of great gratitude to God for unusual good health and most abundant harvest
C:\Users\Shobeir\Desktop\Playground\Python\StateoftheUnion\1862-Lincoln.txt, god, ch if followed the world will forever applaud and God must forever bless. ABRAHAM LINCOLN
C:\Users\Shobeir\Desktop\Playground\Python\StateoftheUnion\1863-Lincoln.txt, god, affairs  our renewed and profoundest gratitude to God is due.We remain in peace and friendship with for
C:\Users\Shobeir\Desktop\Playground\Python\StateoftheUnion\1864-Lincoln.txt, god, vests claim our proroundest gratitude to Almighty God.The condition of our foreign affairs is reasonabl
C:\Users\Shobeir\Desktop\Playground\Python\StateoftheUnion\1865-Johnson.txt, god, House of Representatives: To express gratitude to God in the name of the people for the preservation of
C:\Users\Shobeir\Desktop\Playground\Python\StateoftheUnion\1867-Johnson.txt, god, ct  would be the greatest temporal blessing which God  in His kindest providence  could bestow upon thi
